,job_name,model,status,cv_strategy,dataset,test_fold,test_mse,test_r_square,test_spearman,test_mph,test_ndcg,train_mse,train_r_square,train_spearman,train_mph,train_ndcg,valid_mse,valid_r_square,valid_spearman,valid_mph,valid_ndcg
0,apbsconv0-fold-random-5-0-29-10-29-05,apbsconv,Completed,fold_random_5,A0A247D711_LISMN_Stadelmann_2021,0,0.943596454777053,0.26762184586178694,0.43993579891524054,0.4226190476190476,1.6251937133175909,0.6960772683126321,0.6010815030150801,0.6950498317312017,0.5964214711729622,1.1284925099729455,1.3894568240922276,0.2795549025447457,0.527012895988473,0.5225806451612903,1.6145234103697523
1,apbsconv0-fold-random-5-1-29-10-38-13,apbsconv,Completed,fold_random_5,A0A247D711_LISMN_Stadelmann_2021,1,1.395157028373508,0.27659929848585385,0.5172449351577916,0.4,1.3475019925233302,0.7784939815395013,0.5195018166839374,0.605606950895725,0.378698224852071,1.210744958835339,1.0901994687856662,0.3485235089381701,0.5331625990926079,0.42073170731707316,1.2981517373743259
2,apbsconv0-fold-random-5-2-29-10-38-19,apbsconv,Completed,fold_random_5,A0A247D711_LISMN_Stadelmann_2021,2,1.154332996318694,0.3101988842498339,0.5652948956647704,0.4573170731707317,1.3401409605731458,0.6880569792498199,0.5899498533875145,0.6930352649039403,0.4909090909090909,1.1487709127111718,1.0443637845848321,0.39987015019260863,0.5405772146503429,0.4819277108433735,1.3604629759241431
3,apbsconv0-fold-random-5-3-29-10-38-25,apbsconv,Completed,fold_random_5,A0A247D711_LISMN_Stadelmann_2021,3,1.0927043910101362,0.3720918594266678,0.5223880815284878,0.40963855421686746,1.336174685809522,0.6082819605140124,0.6274800817395059,0.7129050919444654,0.4610655737704918,1.1372535208548264,1.1711317031559714,0.3538147817362044,0.5324370793283519,0.313953488372093,1.4233271677981714
4,apbsconv0-fold-random-5-4-29-10-38-29,apbsconv,Completed,fold_random_5,A0A247D711_LISMN_Stadelmann_2021,4,1.1405212429485891,0.3707044508118167,0.5638899349772738,0.42441860465116277,1.3184527504186523,1.005378526605026,0.43462091782934453,0.5909366734493235,0.5946502057613169,1.1781952269313614,0.9225070944493408,0.283990481744819,0.46261186435065366,0.4107142857142857,1.5997167336415712
5,apbsconv0-fold-modulo-5-0-29-10-40-02,apbsconv,Completed,fold_modulo_5,A0A247D711_LISMN_Stadelmann_2021,0,2.3324223016610257,-0.02003219314289839,0.20064868052484153,0.0,1.4052827572357176,1.5681271395593641,0.0366917518420925,0.3813861554064915,0.0,1.3257656998902259,1.228420712920482,-0.0337750947141322,-0.0007411452940035655,0.0,3.5917372612442384
6,apbsconv0-fold-modulo-5-1-29-10-40-10,apbsconv,Completed,fold_modulo_5,A0A247D711_LISMN_Stadelmann_2021,1,1.3060751412594116,-0.09912502993314631,0.1624512184952988,0.2573099415204678,2.804096326764587,0.9782194806463566,0.4958249574368717,0.6547652305780217,0.6487603305785123,1.1532329491868785,0.9654195299257811,0.3030131953326174,0.4521980674498867,0.47953216374269003,1.4989719687167988
7,apbsconv0-fold-modulo-5-2-29-10-40-18,apbsconv,Completed,fold_modulo_5,A0A247D711_LISMN_Stadelmann_2021,2,1.0912238447563314,0.21218848681045221,0.36823298657747666,0.05847953216374269,1.554156085785362,1.0892175991208501,0.38746627252788624,0.5723446249848304,0.07894736842105263,1.2057291241940316,1.6598141804221092,0.04349031249938795,0.18379744473431375,0.018633540372670808,1.5275934124358799
8,apbsconv0-fold-modulo-5-3-29-10-40-26,apbsconv,Completed,fold_modulo_5,A0A247D711_LISMN_Stadelmann_2021,3,1.7558009200571796,-0.011824461537061737,0.19027000579026423,0.22981366459627328,1.7609210219426934,0.7825349926140461,0.5270284397679241,0.63898606549265,0.5208747514910537,1.1933557970181043,1.242354646706317,0.2930470730291538,0.5386973090177093,0.37267080745341613,1.301704024381273
9,apbsconv0-fold-modulo-5-4-29-10-40-35,apbsconv,Completed,fold_modulo_5,A0A247D711_LISMN_Stadelmann_2021,4,1.3403739267811663,0.23726991058024893,0.49895055128612786,0.11801242236024845,1.3465738751266798,0.9344421235305959,0.3508300494104024,0.5596263336864326,0.23260437375745527,1.2661350074511117,1.8825689849208254,0.1767009906121766,0.5416471699282307,0.2981366459627329,1.196755878596799
10,apbsconv0-fold-contiguous-5-0-29-10-42-27,apbsconv,Completed,fold_contiguous_5,A0A247D711_LISMN_Stadelmann_2021,0,1.540674549500665,-0.45033265135216594,0.12301791044731344,0.0,74.03503945398138,1.1781108153802913,0.1708862991612754,0.4559261489561827,0.0,1.4196778630466678,2.069882293421814,0.1351581392956851,0.5004997081848196,0.7368421052631579,1.1737455684570302
11,apbsconv0-fold-contiguous-5-1-29-10-42-37,apbsconv,Completed,fold_contiguous_5,A0A247D711_LISMN_Stadelmann_2021,1,2.632608261671904,-0.09996101457828255,0.4042110482982248,0.9473684210526315,1.2328791543866626,0.6852598235121733,0.4594494822983539,0.5597426457580281,0.048582995951417005,1.4596847542229516,1.3639999154853641,0.10021480294404139,0.3187455916166561,0.11180124223602485,1.8060804647399669
12,apbsconv0-fold-contiguous-5-2-29-10-42-47,apbsconv,Completed,fold_contiguous_5,A0A247D711_LISMN_Stadelmann_2021,2,1.383061062412222,0.08764080081326242,0.23103716274543798,0.2857142857142857,1.644975937497057,1.210175121032364,0.3699467074421783,0.5925334518402755,0.6023856858846919,1.1505324874759464,0.7650907878229914,0.17264075770123832,0.2748313665664588,0.031055900621118012,-0.9959876079941701
