,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
51,A2RQE2_9CELL,activity-ther,fold_random_5,3,PolynomialOLS3,0.08988471425309136,0.10393127243211353
52,A2RQE2_9CELL,activity-ther,fold_random_5,0,PolynomialOLS3,0.07566014909859377,0.13772133116245402
53,A2RQE2_9CELL,activity-ther,fold_random_5,4,PolynomialOLS3,0.09048018268134163,0.04206781693711499
54,A2RQE2_9CELL,activity-ther,fold_random_5,1,PolynomialOLS3,0.09474925951512385,0.09370603155406222
55,A2RQE2_9CELL,activity-ther,fold_random_5,2,SVR,0.09993142637393704,0.0898832419870048
56,A2RQE2_9CELL,activity-ther,fold_random_5,3,SVR,0.10495508059703759,0.038857797009077405
57,A2RQE2_9CELL,activity-ther,fold_random_5,0,SVR,0.07884857488016102,0.13956735446723142
58,A2RQE2_9CELL,activity-ther,fold_random_5,4,SVR,0.09640494557345805,0.04685227949782908
59,A2RQE2_9CELL,activity-ther,fold_random_5,1,SVR,0.0905656206233661,0.11140977067438454
60,A2RQE2_9CELL,activity-casein,fold_random_5,2,OLS,0.043900786511944206,0.0235866524626767
61,A2RQE2_9CELL,activity-casein,fold_random_5,3,OLS,0.0018903032603409995,0.014381776635577877
62,A2RQE2_9CELL,activity-casein,fold_random_5,0,OLS,0.024167291799918264,-0.007367767121184168
63,A2RQE2_9CELL,activity-casein,fold_random_5,4,OLS,0.0038179595096205408,-0.02579532590910592
64,A2RQE2_9CELL,activity-casein,fold_random_5,1,OLS,0.0128164434154562,0.02574727834728083
65,A2RQE2_9CELL,activity-casein,fold_random_5,2,PolynomialOLS2,0.08222624241775908,0.06155869538501963
66,A2RQE2_9CELL,activity-casein,fold_random_5,3,PolynomialOLS2,0.07545403267629892,0.03866834000355688
67,A2RQE2_9CELL,activity-casein,fold_random_5,0,PolynomialOLS2,0.07243927122333532,0.09423300840419832
68,A2RQE2_9CELL,activity-casein,fold_random_5,4,PolynomialOLS2,0.024987426025401504,0.02456954065288632
69,A2RQE2_9CELL,activity-casein,fold_random_5,1,PolynomialOLS2,0.04081460429752119,0.08470130189588765
70,A2RQE2_9CELL,activity-casein,fold_random_5,2,PolynomialOLS3,0.06380419275616013,0.06417345356549246
71,A2RQE2_9CELL,activity-casein,fold_random_5,3,PolynomialOLS3,0.06810358942652016,0.05237631870627419
72,A2RQE2_9CELL,activity-casein,fold_random_5,0,PolynomialOLS3,0.09600502516052875,0.060572696713931694
73,A2RQE2_9CELL,activity-casein,fold_random_5,4,PolynomialOLS3,0.0543338573527842,0.042578894244875244
74,A2RQE2_9CELL,activity-casein,fold_random_5,1,PolynomialOLS3,0.07467194041717606,0.0836663211136193
75,A2RQE2_9CELL,activity-casein,fold_random_5,2,SVR,0.11595692097120391,0.1032068366548169
76,A2RQE2_9CELL,activity-casein,fold_random_5,3,SVR,0.12596567895672664,0.05862946082905395
77,A2RQE2_9CELL,activity-casein,fold_random_5,0,SVR,0.1060303399808576,0.12079518962067845
78,A2RQE2_9CELL,activity-casein,fold_random_5,4,SVR,0.0765607729124284,0.08027857436642513
79,A2RQE2_9CELL,activity-casein,fold_random_5,1,SVR,0.12360416484684487,0.12752601285299794
80,A2RQE2_9CELL,activity-ker,fold_random_5,2,OLS,0.1401832005980364,0.1047578696085006
81,A2RQE2_9CELL,activity-ker,fold_random_5,3,OLS,0.12792042295846448,0.1360637545137699
82,A2RQE2_9CELL,activity-ker,fold_random_5,0,OLS,0.13314549990704438,0.08925529248953393
83,A2RQE2_9CELL,activity-ker,fold_random_5,4,OLS,0.1064726012130354,0.12848606474153007
84,A2RQE2_9CELL,activity-ker,fold_random_5,1,OLS,0.11534167657395386,0.1367968661271621
85,A2RQE2_9CELL,activity-ker,fold_random_5,2,PolynomialOLS2,0.160461874378435,0.13894154991947535
86,A2RQE2_9CELL,activity-ker,fold_random_5,3,PolynomialOLS2,0.15175374506382341,0.09751078756198385
87,A2RQE2_9CELL,activity-ker,fold_random_5,0,PolynomialOLS2,0.16920867368282538,0.17229210275757878
88,A2RQE2_9CELL,activity-ker,fold_random_5,4,PolynomialOLS2,0.13711004310196845,0.14162018978157775
89,A2RQE2_9CELL,activity-ker,fold_random_5,1,PolynomialOLS2,0.13942989583526447,0.1506187445189876
90,A2RQE2_9CELL,activity-ker,fold_random_5,2,PolynomialOLS3,0.18681550375493258,0.18770754968021908
91,A2RQE2_9CELL,activity-ker,fold_random_5,3,PolynomialOLS3,0.1668047839755073,0.13766470725686536
92,A2RQE2_9CELL,activity-ker,fold_random_5,0,PolynomialOLS3,0.20500611751146317,0.16360739538528074
93,A2RQE2_9CELL,activity-ker,fold_random_5,4,PolynomialOLS3,0.15432202760050778,0.16749533433139016
94,A2RQE2_9CELL,activity-ker,fold_random_5,1,PolynomialOLS3,0.18020326260431108,0.17829730126051646
95,A2RQE2_9CELL,activity-ker,fold_random_5,2,SVR,0.19526471495100142,0.19837854045298062
96,A2RQE2_9CELL,activity-ker,fold_random_5,3,SVR,0.1886207712149307,0.16914690889715833
97,A2RQE2_9CELL,activity-ker,fold_random_5,0,SVR,0.20915984740092022,0.15121133922060195
98,A2RQE2_9CELL,activity-ker,fold_random_5,4,SVR,0.1798042850257659,0.21223868851723146
