,job_name,model,status,test_fold,ph,test_mse,test_r_square,test_spearman,test_mph,test_ndcg,train_mse,train_r_square,train_spearman,train_mph,train_ndcg,valid_mse,valid_r_square,valid_spearman,valid_mph,valid_ndcg
0,apbsconv-fold-0-ph-74-17-12-31-19,apbsconv,Completed,0,7.4,0.5617215973686145,0.18709229174749953,0.4513249371196939,0.7457627118644068,1.3329334833582125,0.27144028865836084,0.33641504216171925,0.6498279171874886,0.3024523160762943,1.4004788544730085,0.2344095907847511,0.16385100371254568,0.4504438021119347,0.04032258064516129,1.8535968543063168
1,apbsconv-fold-1-ph-74-17-12-31-23,apbsconv,Completed,1,7.4,0.2652436076104471,0.053864752151744244,0.39850062388774105,0.008064516129032258,1.920541026228397,0.29045481489775293,0.43052041633238414,0.653571024650453,0.22346368715083798,1.3390091066083998,0.346934583835283,0.14156602147370212,0.3289105079023922,0.11811023622047244,1.5952335724953297
2,apbsconv-fold-2-ph-74-17-12-31-28,apbsconv,Completed,2,7.4,0.3395505021346353,0.15983674721679986,0.418229417440002,0.6377952755905512,1.3636824260765232,0.19185125406875897,0.5724334265067096,0.712479871794196,0.6343490304709142,1.1585639693430636,0.40236806479735554,0.12643425131115915,0.29901216786668816,0.33884297520661155,5.211211008680984
3,apbsconv-fold-3-ph-74-17-12-31-32,apbsconv,Completed,3,7.4,0.4535456531608258,0.015324567898933106,0.27907178579880704,0.4297520661157025,5.415168996802911,0.15790123928160013,0.6605388508029961,0.8199927456023294,0.8780487804878049,1.093141959037749,0.23360102991492654,0.3292044233537068,0.5672110685278295,0.44537815126050423,1.5851897997268127
4,apbsconv-fold-4-ph-74-17-12-31-37,apbsconv,Completed,4,7.4,0.2697782527214971,0.22531994543495482,0.5379434619035898,0.1092436974789916,1.571304500284268,0.1953203253124041,0.4955007078673731,0.7246702061850564,0.3575268817204301,1.3167319539324958,0.43458025264255273,0.3710876724655755,0.5815307645606138,0.5254237288135594,1.2950159666822507
5,apbsconv-fold-0-ph-1-17-12-31-41,apbsconv,Completed,0,1.0,0.5162141009971573,0.25294946148590003,0.7005272359597747,0.9491525423728814,1.3482370308177518,0.22410458761753826,0.45213573835857035,0.6988278180600519,0.7629427792915532,1.364321630819763,0.20215902056002188,0.2788901615935364,0.43009546347857147,0.2903225806451613,1.9787257108804792
6,apbsconv-fold-1-ph-1-17-12-31-46,apbsconv,Completed,1,1.0,0.26457078602917816,0.056264735394644605,0.30702593579227444,0.0,2.1773798707654084,0.31622813675145345,0.37998801044287045,0.603845920197698,0.24022346368715083,1.3884674119948697,0.3305518751815599,0.18210240620993745,0.4603489025624877,0.10236220472440945,1.3947728112169346
7,apbsconv-fold-2-ph-1-17-12-31-50,apbsconv,Completed,2,1.0,0.3262954805087621,0.19263417209143474,0.4936500758842019,0.7952755905511811,1.393966107918946,0.2936617857183755,0.345534830642669,0.5808868901678339,0.2742382271468144,1.2652750087955478,0.43453772569064975,0.0565919443242221,0.23721645813938033,0.2396694214876033,5.667516554554265
8,apbsconv-fold-3-ph-1-17-12-31-56,apbsconv,Completed,3,1.0,0.4344372392593659,0.05681010653006646,0.288276537113454,0.3305785123966942,5.5521980354680815,0.20633538992562855,0.5564135601288615,0.7026792921667537,0.7479674796747967,1.1477677459290059,0.3012857509442208,0.13484478594318772,0.42287278928307726,0.40336134453781514,1.6261027820685197
9,apbsconv-fold-4-ph-1-17-12-32-01,apbsconv,Completed,4,1.0,0.2656019584796043,0.2373123570491299,0.4688249358320734,0.2605042016806723,1.6425155105145552,0.1952582208708351,0.4956611194720524,0.6757625548636521,0.47580645161290325,1.4309374700520654,0.504964851939696,0.2692290585562286,0.560413024325891,0.788135593220339,1.3348251566965592
10,apbsconv-fold-0-ph-13-17-12-32-06,apbsconv,Completed,0,13.0,0.4907934869108283,0.2897374597328827,0.658025170381664,0.9152542372881356,1.198398076827524,0.14336647709947004,0.6495146754680394,0.7671935632445136,0.7547683923705722,1.1847903158437736,0.23143747302591555,0.17445267437191925,0.3531432770392003,0.24193548387096775,1.9688666807807493
11,apbsconv-fold-1-ph-13-17-12-32-11,apbsconv,Completed,1,13.0,0.2777600696066544,0.009217999004135113,0.3422437300462133,0.0,2.1153536274749616,0.28212480832384457,0.44685262510409196,0.694096785865227,0.26256983240223464,1.2719074770436587,0.3577433681898918,0.11482141834424031,0.34265937055473267,0.14960629921259844,1.5980364820167179
12,apbsconv-fold-2-ph-13-17-12-32-17,apbsconv,Completed,2,13.0,0.29781100266865373,0.26311444352536517,0.5544233441408059,0.4881889763779528,1.2281515075287104,0.12786357655622424,0.7150386555036634,0.8147624009656078,0.6204986149584487,1.1218956762387697,0.4069632033005167,0.11645792376919928,0.338094469994382,0.33884297520661155,4.745199092843223
13,apbsconv-fold-3-ph-13-17-12-32-23,apbsconv,Completed,3,13.0,0.48343295635829736,-0.04956260053760442,0.2942772796915888,0.4214876033057851,4.826912646926512,0.13392328368711723,0.7120874288795862,0.8290150799011493,0.8861788617886179,1.0758221649681567,0.24741838234139352,0.2895272913992267,0.5341891986920291,0.37815126050420167,1.6002279996319866
14,apbsconv-fold-4-ph-13-17-12-32-31,apbsconv,Completed,4,13.0,0.29348652117562524,0.15724061541332013,0.4389596005766323,0.14285714285714285,1.6617992801112653,0.17660360442400178,0.5438447418235937,0.7497026880312082,0.3978494623655914,1.210493366832139,0.4954107680193415,0.2830554602835791,0.578253228464351,0.5847457627118644,1.2485116239604461
