,job_name,model,status,test_fold,ph,test_mse,test_r_square,test_spearman,test_mph,test_ndcg,train_mse,train_r_square,train_spearman,train_mph,train_ndcg,valid_mse,valid_r_square,valid_spearman,valid_mph,valid_ndcg
0,apbsconv-fold-0-ph-74-20-15-05-38,apbsconv,Completed,0,7.4,0.3027259685979874,0.573803887038598,0.6763895379418304,0.5211267605633803,1.2048893811845676,0.21249993623360022,0.6819800683788267,0.7659597188005972,0.5906976744186047,1.077850620188664,0.28232571909278315,0.5969844049210087,0.6211789409272179,0.4788732394366197,1.2249387460074255
1,apbsconv-fold-1-ph-74-20-15-05-42,apbsconv,Completed,1,7.4,0.3073228995598106,0.5613013166299796,0.6198629060481025,0.704225352112676,1.2306505339797205,0.20720288021634256,0.7023334318794843,0.7909504315203718,0.780373831775701,1.0998413318279066,0.29673942337132186,0.5246547152996868,0.5612249819146371,0.7222222222222222,1.2662646665403614
2,apbsconv-fold-2-ph-74-20-15-05-46,apbsconv,Completed,2,7.4,0.2892294371600807,0.5366849217788938,0.5412707981673499,0.6944444444444444,1.326323980014153,0.1645543202590828,0.7638554252668618,0.7983666036172641,0.7641509433962265,1.0820805684303911,0.3596351632595056,0.48415402139087493,0.6643520705400723,0.7222222222222222,1.2232213901938203
3,apbsconv-fold-3-ph-74-20-15-05-50,apbsconv,Completed,3,7.4,0.36766444050371927,0.47263715429693987,0.6426704455991182,0.6805555555555556,1.1673425296823587,0.1365146283784914,0.7992700325010715,0.8199822239963194,0.7897196261682243,1.0989347777299732,0.28581301288800637,0.5769864211025918,0.6043580632732565,0.6285714285714286,1.2896685375292176
4,apbsconv-fold-4-ph-74-20-15-05-54,apbsconv,Completed,4,7.4,0.29479237344827836,0.5636966432564751,0.6589365983132839,0.6142857142857143,1.276400223989414,0.17864960290566986,0.7358989005321603,0.7916692146741248,0.786046511627907,1.1017940856484745,0.26882697557067886,0.6215289604059595,0.6658864060722017,0.7323943661971831,1.2264589791367682
5,apbsconv-fold-0-ph-1-23-13-57-02,apbsconv,Completed,0,1.0,0.2759937048112094,0.6114392011457717,0.6922238684300417,0.704225352112676,1.1845527697570883,0.14592215234830785,0.7816180384129188,0.8192547861139022,0.772093023255814,1.0649141728251994,0.24855360824530423,0.6451935705400904,0.676519464952189,0.5774647887323944,1.229017950446671
6,apbsconv-fold-1-ph-1-23-13-57-06,apbsconv,Completed,1,1.0,0.2840502918710864,0.5945226039673501,0.6318581029399131,0.7887323943661971,1.1997421098876238,0.21207665804155626,0.6953317882850589,0.7983701605579958,0.822429906542056,1.0715088763288894,0.30732548475816723,0.5076969605577822,0.5770235511614822,0.7222222222222222,1.3102708314765132
7,apbsconv-fold-2-ph-1-23-13-57-10,apbsconv,Completed,2,1.0,0.3031222974529869,0.5144300236726538,0.5163250542560888,0.7222222222222222,1.3471385075770803,0.16313531512921814,0.7658917763174355,0.7993423582560848,0.8160377358490566,1.0638802088310297,0.36559815344300495,0.47560095200031516,0.6202290977798771,0.7222222222222222,1.24051172231434
8,apbsconv-fold-3-ph-1-23-13-57-14,apbsconv,Completed,3,1.0,0.3848179314498895,0.448032888008037,0.5713194772476775,0.5416666666666666,1.1409463141195664,0.16791445927300985,0.7530999838418644,0.7907326318541272,0.6869158878504673,1.09709303103674,0.31770867007738496,0.5297796968088637,0.6574981805727984,0.4857142857142857,1.2433844766665367
9,apbsconv-fold-4-ph-1-23-13-57-18,apbsconv,Completed,4,1.0,0.31344081317981676,0.5360962791163659,0.5906545656920245,0.5285714285714286,1.2775262766555142,0.18598945817367554,0.725048253149313,0.7768018909212995,0.6930232558139535,1.0954391500355762,0.2763049433605895,0.6110010205015279,0.6882003223028097,0.647887323943662,1.270487799953421
10,apbsconv-fold-0-ph-13-23-13-57-22,apbsconv,Completed,0,13.0,0.33759192380519343,0.5247174652399748,0.6363552539758714,0.5774647887323944,1.2037737620149827,0.15730922949951173,0.7645765391956674,0.8306372416770086,0.6790697674418604,1.0618329709322185,0.3298105208127237,0.5292005852822439,0.6041710761518972,0.5211267605633803,1.1696157894654875
11,apbsconv-fold-1-ph-13-23-13-57-27,apbsconv,Completed,1,13.0,0.3630653597758812,0.4817298172733666,0.5176941727735855,0.704225352112676,1.3318550144937586,0.34150025188809996,0.5094025339527845,0.6805763563845378,0.7710280373831776,1.103173657197739,0.3405427317558827,0.4544864314285555,0.45427216461699216,0.7083333333333334,1.3080241548614646
12,apbsconv-fold-2-ph-13-23-13-57-32,apbsconv,Completed,2,13.0,0.3216484340710856,0.4847531051659162,0.5456595129008922,0.4305555555555556,1.320250275025241,0.18339347770109013,0.7368201896348279,0.8218625627237343,0.49528301886792453,1.0805089738307236,0.3879790471403736,0.4434987128676662,0.6374350495984883,0.5277777777777778,1.1706869959469766
13,apbsconv-fold-3-ph-13-23-13-57-36,apbsconv,Completed,3,13.0,0.3902222128396778,0.44028120767475765,0.6247401983939537,0.6388888888888888,1.1232907768185227,0.14181207852874475,0.7914807061181189,0.822111089462093,0.7336448598130841,1.0743429179238966,0.34236590621572516,0.4932860970276499,0.6324714242904234,0.5285714285714286,1.260870516740518
14,apbsconv-fold-4-ph-13-23-13-57-42,apbsconv,Completed,4,13.0,0.353773336350404,0.47640268854133483,0.6040498309002953,0.4857142857142857,1.2440266299849612,0.22314730446496667,0.6701171035706115,0.7462434875927024,0.6651162790697674,1.08709635303027,0.30735115091931753,0.5672922728014116,0.6533463539756619,0.5352112676056338,1.2478979225271603
