,job_name,model,status,test_fold,null_mse,null_r_square,null_spearman,null_mph,null_ndcg,test_mse,test_r_square,test_spearman,test_mph,test_ndcg,train_mse,train_r_square,train_spearman,train_mph,train_ndcg,valid_mse,valid_r_square,valid_spearman,valid_mph,valid_ndcg
0,potts-regressor-0-aggregated-30-14-07-11,potts-regressor,Completed,0,0.0969904936682563,0.496254180503486,0.710549241488865,0.7784877529286475,0.9510167889049056,35705.19557756614,-7.713853187525681,0.4430309828457506,0.0,0.9658312620774528,0.04042039274723026,0.7892814669116754,0.9022750126487653,0.8912466843501327,0.9841595295173463,,,,,
1,potts-regressor-1-aggregated-30-14-07-18,potts-regressor,Completed,1,0.10348041215550735,0.47732461820707894,0.7036844570044062,0.7833859095688749,0.9489658402271747,35719.44179411601,-7.717329976757197,0.3864433503728767,0.0,0.9654665494442258,0.039052450326576726,0.7949422305431008,0.9037914248498246,0.8959552953698776,0.9852460224844555,,,,,
2,potts-regressor-2-aggregated-30-14-07-24,potts-regressor,Completed,2,0.09259236473241723,0.5060402529464205,0.7133438521425084,0.79723991507431,0.9616548150957328,35720.190098692394,-7.7175126004933965,0.43656160437267155,0.0,0.9654447506196149,0.04156995438816941,0.7846567033706974,0.9015471186066749,0.8988585080966286,0.9828315555016334,,,,,
3,rita-regressor-0-30-14-12-42,rita-regressor,Failed,0,,,,,,,,,,,,,,,,,,,,
4,rita-regressor-0-30-14-27-20,rita-regressor,Completed,0,0.11145172810018662,0.42114592902101977,0.6649898185564459,0.7870074547390842,0.9405610515044299,35905.049813655256,-7.7626276150008735,0.4214619585236586,0.0,0.961767515139893,0.10429213801363392,0.45630695692871714,0.6987695646039864,0.8190981432360742,0.9601154171341083,,,,,
5,apbsconv-0-11-09-01-28,apbsconv,Completed,0,0.13741502352462417,0.2862986771331376,0.5523484734631234,0.7273695420660277,0.9345358949289102,35856.49635560247,-7.750778143281847,0.15268032643875187,0.0,0.9615527242830691,0.10307241816591421,0.4567810869940826,0.7040446768682785,0.7892869811990068,0.9667194092735895,0.14492049350611558,0.2680124412425219,0.5379451339076696,0.7602523659305994,0.931046328323853
6,rita-regressor-1-11-09-01-34,rita-regressor,Completed,1,0.12204933719427344,0.3835337279124401,0.6448901419051919,0.8096740273396424,0.9371235842208723,35905.75758380862,-7.762800346310902,0.36966412906553,0.0,0.959528148702851,0.10205278775996315,0.46413818211363456,0.7013832554491125,0.8283661522086216,0.9622678981226891,,,,,
7,apbsconv-1-11-09-01-40,apbsconv,Completed,1,0.13993925173559357,0.29317249221234076,0.5705387554094372,0.7434279705573081,0.9328432533938493,35848.33073772047,-7.748785324190447,0.26247957858014487,0.0,0.9632364301667168,0.08475429201076969,0.5571049450152384,0.7641599019162776,0.7858664772727273,0.972756603559676,0.12523385741304405,0.33190512296492314,0.5865143961834562,0.7802547770700637,0.9472746134558878
8,rita-regressor-2-11-09-01-46,rita-regressor,Completed,2,0.11472416375161337,0.38797200966355583,0.6347503621142857,0.8259023354564756,0.9466977902191807,35899.20891295336,-7.761202143150744,0.40571077837123,0.0,0.9589143351725089,0.10394123050294272,0.46155708944968166,0.7008239057807888,0.8213432439607115,0.9598086073759137,,,,,
9,apbsconv-2-11-09-01-53,apbsconv,Completed,2,0.13024572926870107,0.3051678972634334,0.5625120961204736,0.8280254777070064,0.9418982654597968,35818.035191346025,-7.741391695922278,0.26050969522600115,0.0,0.962406891840164,0.0950736011537117,0.5067729444070175,0.7370028289899876,0.8428117273048393,0.9687717758326055,0.1299874096660289,0.32954419094253173,0.5904728397433773,0.7679144385026738,0.94042538673532
10,potts-regressor-3-11-09-01-59,potts-regressor,Completed,3,0.09400233358575293,0.5151498842891636,0.7183363435616282,0.786096256684492,0.9558906541229107,35731.092972364044,-7.720173446876117,0.42127452662714904,0.0,0.9687133557181717,0.04121315541594068,0.7847811874847989,0.9002347737413594,0.8969263381028086,0.9837375843540587,,,,,
11,rita-regressor-3-11-09-02-06,rita-regressor,Completed,3,0.11103086427007937,0.427319244796055,0.6631912251389982,0.8106951871657754,0.9446878783074171,35903.084445733526,-7.762147966948191,0.3960968118812023,0.0,0.9586314289410075,0.1049944351489606,0.4517095955064028,0.695419571386348,0.8224695283518813,0.9593718938366969,,,,,
12,apbsconv-3-11-09-02-13,apbsconv,Completed,3,0.12897415386340283,0.3347704143181436,0.6051431907970399,0.7668449197860963,0.9414566620166717,35847.44132558289,-7.748568263153119,0.32861658480641226,0.0,0.9613049135221335,0.09263292996571292,0.5193560656549765,0.7410630695471511,0.8502824858757062,0.9688703800279695,0.12920339784018076,0.31141922691827195,0.5717461928371035,0.7003188097768331,0.9448587467553308
13,potts-regressor-4-11-09-02-23,potts-regressor,Completed,4,0.09094800555867047,0.5152987535568128,0.7240818924159317,0.7523910733262487,0.9605284636918561,35766.98141253864,-7.72893202090861,0.39828817951892687,0.0,0.9635296231769851,0.041507372226756024,0.7849528539404529,0.9020095982955966,0.9004777070063694,0.9830366992764247,,,,,
14,rita-regressor-4-11-09-02-30,rita-regressor,Completed,4,0.1110066262239859,0.4083976909256205,0.6558330315038516,0.7725823591923485,0.9447222117906681,35915.812972966574,-7.7652543640931455,0.38896113211658695,0.0,0.9597724861397805,0.1048492147892143,0.4567826581787161,0.6985536206983722,0.8256369426751592,0.9599765744749754,,,,,
